Termék neve;Kiszerelés neve;TK szám;Hatóanyag;Forg Eng Jog;ATC kód;A hiány kezdete;A hiány tervezett vége;A hiány oka;Javaslat a hiánykészítmény pótlására;
"Rydapt 25 mg lágy kapszula";"56 X   - buborékcsomagolásban";"EU/1/17/1218/002";"midostaurin";"Novartis Europharm Ltd.";"L01XE39";"2020-10-20 00:00:00";"2020-12-15 00:00:00";"Gyártási gond";"Egyedi import";
"SABACOMB 250 mikrogramm/100 mikrogramm túlnyomásos inhalációs szuszpenzió";"1 X 200 adag Al tartályban";"OGYI-T-22713/01";"beclometasone dipropionate, anhydrous;salbutamol sulphate";"Chiesi Pharmaceuticals GmbH ";"R03AK13";"2022-01-01 00:00:00";"";"Gyártási gond";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"SABRIL 500 mg filmtabletta";"100 X   - buborékcsomagolásban";"OGYI-T-02330/01";"vigabatrin";"sanofi-aventis zrt.";"N03AG04";"2023-01-18 00:00:00";"2023-06-30 00:00:00";"Gyártási gond";"Egyedi import";
"SALOFALK 1 g gyomornedv-ellenálló tabletta";"100 X   - buborékcsomagolásban";"OGYI-T-01612/20";"mesalazine";"Dr. Falk Pharma GmbH";"A07EC02";"2021-01-05 00:00:00";"";"Gyártási gond";"Ugyanaz a gyógyszer más hatáserõsségben elérhetõ";
"SALOFALK 1 g gyomornedv-ellenálló tabletta";"60 X   - buborékcsomagolásban";"OGYI-T-01612/19";"mesalazine";"Dr. Falk Pharma GmbH";"A07EC02";"2021-01-05 00:00:00";"";"Gyártási gond";"Ugyanaz a gyógyszer más hatáserõsségben elérhetõ";
"SALOFALK 1000 mg gyomornedv-ellenálló retard granulátum";"100 X   - tasakban";"OGYI-T-01612/11";"mesalazine";"Dr. Falk Pharma GmbH";"A07EC02";"2015-07-03 00:00:00";"";"Gyártási gond";"Ugyanaz a gyógyszer más gyógyszerformában elérhetõ";
"SALOFALK 1000 mg gyomornedv-ellenálló retard granulátum";"60 X   - tasakban";"OGYI-T-01612/10";"mesalazine";"Dr. Falk Pharma GmbH";"A07EC02";"2015-07-03 00:00:00";"";"Gyártási gond";"Ugyanaz a gyógyszer más gyógyszerformában elérhetõ";
"SALOFALK 2 g/30 ml végbélszuszpenzió";"7 X 30 ml tartályban";"OGYI-T-01612/06";"mesalazine";"Dr. Falk Pharma GmbH";"A07EC02";"2015-08-10 00:00:00";"";"Gyártási gond";"Ugyanaz a gyógyszer más gyógyszerformában elérhetõ";
"SALOFALK 4 g/60 ml végbélszuszpenzió";"7 X 60 ml tartályban";"OGYI-T-01612/07";"mesalazine";"Dr. Falk Pharma GmbH";"A07EC02";"2022-02-23 00:00:00";"2022-05-31 00:00:00";"Szállítási vagy raktározási gondok";"Ugyanaz a gyógyszer más gyógyszerformában elérhetõ";
"SALOFALK 500 mg gyomornedv-ellenálló retard granulátum";"100 X   - tasakban";"OGYI-T-01612/09";"mesalazine";"Dr. Falk Pharma GmbH";"A07EC02";"2015-07-03 00:00:00";"";"Gyártási gond";"Ugyanaz a gyógyszer más gyógyszerformában elérhetõ";
"SALOFALK 500 mg gyomornedv-ellenálló retard granulátum";"50 X   - tasakban";"OGYI-T-01612/08";"mesalazine";"Dr. Falk Pharma GmbH";"A07EC02";"2015-07-03 00:00:00";"";"Gyártási gond";"Ugyanaz a gyógyszer más gyógyszerformában elérhetõ";
"SALSOL oldatos infúzió";"1 X 250 ml mûanyag zsákban";"OGYI-T-03514/18";"sodium chloride";"Teva Gyógyszergyár Zrt.";"B05BB01";"2022-06-24 00:00:00";"";"Gyártási gond";"Azonos hatóanyag, azonos gyógyszerformában elérhetõ";
"SALSOL oldatos infúzió";"1 X 500 ml mûanyag zsákban";"OGYI-T-03514/19";"sodium chloride";"Teva Gyógyszergyár Zrt.";"B05BB01";"2022-06-24 00:00:00";"";"Gyártási gond";"Azonos hatóanyag, azonos gyógyszerformában elérhetõ";
"SANVAL 10 mg filmtabletta";"10 X   - buborékcsomagolásban";"OGYI-T-08571/02";"zolpidem";"Sandoz Hungária Kft.";"N05CF02";"2023-02-28 00:00:00";"2023-05-09 00:00:00";"Gyártási gond";"Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)";
"SANVAL 10 mg filmtabletta";"20 X   - buborékcsomagolásban";"OGYI-T-08571/03";"zolpidem";"Sandoz Hungária Kft.";"N05CF02";"2023-02-21 00:00:00";"2023-05-02 00:00:00";"Gyártási gond";"Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)";
"SARIDON tabletta";"10 X   - buborékcsomagolásban";"OGYI-T-01996/01";"paracetamol;propyphenazone;caffeine";"Bayer Hungária Kft.";"N02BE51";"2022-09-08 00:00:00";"2022-10-12 00:00:00";"Gyártási gond";"Ugyanaz a gyógyszer más kiszerelésben elérhetõ";
"SARIDON tabletta";"20 X   - buborékcsomagolásban";"OGYI-T-01996/02";"paracetamol;propyphenazone;caffeine";"Bayer Hungária Kft.";"N02BE51";"2022-06-25 00:00:00";"2022-08-12 00:00:00";"Gyártási gond";"Ugyanaz a gyógyszer más kiszerelésben elérhetõ";
"SARIDON tabletta";"20 X   - buborékcsomagolásban";"OGYI-T-01996/02";"paracetamol;propyphenazone;caffeine";"Bayer Hungária Kft.";"N02BE51";"2022-09-28 00:00:00";"2022-10-25 00:00:00";"Gyártási gond";"Azonos hatóanyag, azonos gyógyszerformában elérhetõ";
"SCANLUX 300 mg I/ml oldatos injekció";"10 X 100 ml injekciós üvegben";"OGYI-T-08887/02";"iopamidol";"Sanochemia Pharmazeutika GmbH";"V08AB04";"2019-01-01 00:00:00";"2019-07-11 00:00:00";"Gyártási gond";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"SCANLUX 300 mg I/ml oldatos injekció";"10 X 200 ml injekciós üvegben";"OGYI-T-08887/03";"iopamidol";"Sanochemia Pharmazeutika GmbH";"V08AB04";"2019-01-01 00:00:00";"2019-07-11 00:00:00";"Gyártási gond";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"SCANLUX 300 mg I/ml oldatos injekció";"10 X 50 ml injekciós üvegben";"OGYI-T-08887/01";"iopamidol";"Sanochemia Pharmazeutika GmbH";"V08AB04";"2019-01-01 00:00:00";"2019-07-11 00:00:00";"Gyártási gond";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"SCANLUX 300 mg I/ml oldatos injekció";"5 X 500 ml injekciós üvegben";"OGYI-T-08887/07";"iopamidol";"Sanochemia Pharmazeutika GmbH";"V08AB04";"2019-01-01 00:00:00";"2019-07-11 00:00:00";"Gyártási gond";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"SCANLUX 370 mg I/ml oldatos injekció";"10 X 200 ml injekciós üvegben";"OGYI-T-08887/06";"iopamidol";"Sanochemia Pharmazeutika GmbH";"V08AB04";"2019-01-01 00:00:00";"2019-07-11 00:00:00";"Gyártási gond";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"SCANLUX 370 mg I/ml oldatos injekció";"5 X 500  ml injekciós üvegben";"OGYI-T-08887/08";"iopamidol";"Sanochemia Pharmazeutika GmbH";"V08AB04";"2019-01-01 00:00:00";"2019-07-11 00:00:00";"Gyártási gond";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"SEBLYN 408 mg kemény kapszula";"28 X   - buborékcsomagolásban";"OGYI-T-22875/01";"lymecycline";"Actavis Group PTC ehf.";"J01AA04";"2019-09-30 00:00:00";"";"Gyártási gond";"Egyedi import";
"SEPTANEST 40 mg/ml + 10 mikrogramm/ml, injekciós oldat";"50 X   - patronban";"OGYI-T-05642/01";"articaine;epinephrine bitartrate";"Septodont";"N01BB58";"2022-11-23 00:00:00";"2022-12-23 00:00:00";"Megnövekedett igény";"Kontingens";
"SERMION 30 mg filmtabletta";"30 X   - buborékcsomagolásban";"OGYI-T-04339/01";"nicergoline";"Upjohn EESV";"C04AE02";"2022-08-03 00:00:00";"2022-08-31 00:00:00";"Gyártási gond";"Azonos hatóanyag, azonos gyógyszerformában elérhetõ";
"SILDENAFIL PFIZER  25 mg filmtabletta";"4 X   - buborékcsomagolásban";"OGYI-T-21636/02";"sildenafil";"Upjohn EESV";"G04BE03";"2017-02-01 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"SILDENAFIL PFIZER  50 mg filmtabletta";"2 X   - buborékcsomagolásban";"OGYI-T-21636/05";"sildenafil";"Upjohn EESV";"G04BE03";"2018-04-14 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"SINECOD 50 mg retard filmtabletta";"20 X   - buborékcsomagolásban";"OGYI-T-05302/04";"butamirate";"GlaxoSmithKline-Consumer Kft.";"R05DB13";"2016-04-12 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"SINECOD szirup";"1 X 200 ml üvegben";"OGYI-T-05302/02";"butamirate";"GlaxoSmithKline-Consumer Kft.";"R05DB13";"2022-11-29 00:00:00";"2023-02-03 00:00:00";"Szállítási vagy raktározási gondok";"Azonos hatóanyag más gyógyszerformában elérhetõ";
"SINGULAIR 10 mg filmtabletta";"28 X   - buborékcsomagolásban";"OGYI-T-06680/01";"montelukast";"Organon Hungary Kft.";"R03DC03";"2017-09-15 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más gyógyszerformában elérhetõ";
"SINGULAIR JUNIOR 5 mg rágótabletta";"28 X   - buborékcsomagolásban";"OGYI-T-06680/06";"montelukast";"Organon Hungary Kft.";"R03DC03";"2017-09-15 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más gyógyszerformában elérhetõ";
"SINUPRET belsõleges oldatos cseppek";"1 X 100 ml üvegben";"OGYI-T-05509/02";"herbal extracts";"Bionorica SE";"R05CB10";"2021-11-01 00:00:00";"2021-12-13 00:00:00";"Megnövekedett igény";"Ugyanaz a gyógyszer más gyógyszerformában elérhetõ";
"SINUPRET belsõleges oldatos cseppek";"1 X 50 ml üvegben";"OGYI-T-05509/01";"herbal extracts";"Bionorica SE";"R05CB10";"2021-11-01 00:00:00";"2021-12-13 00:00:00";"Megnövekedett igény";"Ugyanaz a gyógyszer más gyógyszerformában elérhetõ";
"SIRDALUD MR 6 mg retard kapszula";"30 X   - buborékcsomagolásban";"OGYI-T-05903/06";"Tizanidine";"Sandoz Hungária Kft.";"M03BX02";"2023-02-14 00:00:00";"2023-04-07 00:00:00";"Adminisztratív okok";"Ugyanaz a gyógyszer más kiszerelésben elérhetõ";
"SKOPRYL PLUS 20 mg/12,5 mg tabletta";"30 X   - buborékcsomagolásban";"OGYI-T-22253/01";"lisinopril;hydrochlorothiazide";"Alkaloid-int d.o.o.";"C09BA03";"2021-01-04 00:00:00";"";"Piaci megfontolások";"Azonos hatóanyag, azonos gyógyszerformában elérhetõ";
"SMOFlipid 200 mg/ml emulziós infúzió";"10 X 500 ml üvegben";"OGYI-T-10109/03";"fish oil, rich in omega-3-acids;Olive Oil, Refined;soya-bean oil, refined;Tryglycerides, medium chain";"Fresenius Kabi AB, Uppsala";"B05BA02";"2020-01-02 00:00:00";"2020-02-05 00:00:00";"Gyártási gond";"Egyedi import";
"SOLU-MEDROL  250 mg por és oldószer oldatos injekcióhoz";"1 X   - kétrekeszes injekciós üveg";"OGYI-T-02245/03";"methylprednisolone";"Pfizer Kft.";"H02AB04";"2016-08-01 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más hatáserõsségben elérhetõ";
"SOLUVIT por oldatos infúzióhoz való koncentrátumhoz";"10 X   - injekciós üvegben";"OGYI-T-04298/01";"vitamins";"Fresenius Kabi AB, Uppsala";"B05XC";"2022-06-20 00:00:00";"2022-07-31 00:00:00";"Gyártási gond";"Egyedi import";
"SOMNOGEN 10 mg filmtabletta";"30 X   - buborékcsomagolásban";"OGYI-T-20043/03";"zolpidem";"Viatris Ltd.";"N05CF02";"2022-01-10 00:00:00";"2022-05-25 00:00:00";"Gyártási gond";"Azonos hatóanyag, azonos gyógyszerformában elérhetõ";
"SOMNOL 7,5 mg filmtabletta";"20 X   - buborékcsomagolásban";"OGYI-T-09590/02";"zopiclone";"Goodwill Pharma Nyrt.";"N05CF01";"2022-03-30 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más kiszerelésben elérhetõ";
"SORAFENIB SANDOZ 200 mg filmtabletta";"112 X   - buborékcsomagolásban";"OGYI-T-23697/01";"sorafenib tosylate";"Sandoz Hungária Kft.";"L01XE05";"2023-02-01 00:00:00";"2023-04-18 00:00:00";"Gyártási gond";"Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)";
"SOTALEX MITE 80 mg tabletta";"100 X   - buborékcsomagolásban";"OGYI-T-04183/02";"sotalol";"Cheplapharm Arzneimittel GmbH";"C07AA07";"2022-12-19 00:00:00";"2023-02-28 00:00:00";"Piaci megfontolások";"Egyedi import";
"SOTALEX MITE 80 mg tabletta";"30 X   - buborékcsomagolásban";"OGYI-T-04183/01";"sotalol";"Cheplapharm Arzneimittel GmbH";"C07AA07";"2022-12-19 00:00:00";"2023-02-28 00:00:00";"Piaci megfontolások";"Egyedi import";
"SPUTOPUR 200 mg kemény kapszula";"30 X   - üvegben";"OGYI-T-03795/01";"acetylcysteine";"Wagner-Pharma Kft.";"R05CB01";"2022-06-03 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"STALORAL Pollenek fenntartó nyelvalatti oldat";"2 X 10 ml -";"OGYI-T-20473/226";"allergén kivonat";"Stallergenes";"V01AA";"2022-08-10 00:00:00";"";"Szállítási vagy raktározási gondok";"Egyedi import";
"STALORAL Pollenek kezdõ nyelvalatti oldat";"3 X 10 ml -";"OGYI-T-20473/076";"allergén kivonat";"Stallergenes";"V01AA";"2022-08-10 00:00:00";"";"Szállítási vagy raktározási gondok";"Egyedi import";
"STALORAL Állati eredetû allergének fenntartó nyelvalatti oldat";"2 X 10 ml -";"OGYI-T-20473/361";"allergén kivonat";"Stallergenes";"V01AA";"2022-08-10 00:00:00";"";"Szállítási vagy raktározási gondok";"Egyedi import";
"STALORAL Állati eredetû allergének kezdõ nyelvalatti oldat";"3 X 10 ml -";"OGYI-T-20473/339";"allergén kivonat";"Stallergenes";"V01AA";"2022-11-14 00:00:00";"";"Szállítási vagy raktározási gondok";"Egyedi import";
"STREPFEN cukormentes 8,75 mg szopogató tabletta";"16 X   - buborékcsomagolásban";"OGYI-T-08900/11";"flurbiprofen";"Reckitt Benckiser Kft.";"R02AX01";"2017-06-28 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más kiszerelésben elérhetõ";
"STROGEN UNO lágy kapszula";"120 X   - buborékcsomagolásban";"OGYI-T-05417/05";"serenoa repens";"Strathmann GmbH&Co.KG";"G04CX02";"2018-11-01 00:00:00";"";"Hatóanyag, vagy egyéb alapanyag ellátási probléma";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"STROGEN UNO lágy kapszula";"60 X   - buborékcsomagolásban";"OGYI-T-05417/04";"serenoa repens";"Strathmann GmbH&Co.KG";"G04CX02";"2018-11-01 00:00:00";"";"Hatóanyag, vagy egyéb alapanyag ellátási probléma";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"SUMAMED FORTE 200 mg/5 ml por sziruphoz";"1 X 30 ml HDPE palackban";"OGYI-T-05272/02";"azithromycin";"Teva Gyógyszergyár Zrt.";"J01FA10";"2023-01-13 00:00:00";"2023-04-30 00:00:00";"Gyártási gond";"Ugyanaz a gyógyszer más kiszerelésben elérhetõ";
"SUPPOSITORIUM HAEMORRHOIDALE FoNo VII. NATURLAND";"10 X   - szalagcsomagolásban";"OGYI-T-09898/01";"lidocaine;bismuth subgallate;Zinc oxide;Peru Balsam;ephedrine hydrochloride";"Naturland Magyarország Kft.";"C05A";"2020-01-21 00:00:00";"";"Hatóanyag, vagy egyéb alapanyag ellátási probléma";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"SUPRADYN drazsé";"30 X   - buborékcsomagolásban";"OGYI-T-09251/01";"vitamins;minerals";"Bayer Hungária Kft.";"A11AA03";"2021-10-12 00:00:00";"2021-12-31 00:00:00";"Gyártási gond";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"SUPRADYN drazsé";"30 X   - buborékcsomagolásban";"OGYI-T-09251/01";"vitamins;minerals";"Bayer Hungária Kft.";"A11AA03";"2022-02-01 00:00:00";"2022-03-15 00:00:00";"Gyártási gond";"Ugyanaz a gyógyszer más kiszerelésben elérhetõ";
"SUPRADYN drazsé";"30 X   - buborékcsomagolásban";"OGYI-T-09251/01";"vitamins;minerals";"Bayer Hungária Kft.";"A11AA03";"2022-03-31 00:00:00";"2022-05-13 00:00:00";"Gyártási gond";"Ugyanaz a gyógyszer más hatáserõsségben elérhetõ";
"SUPRADYN drazsé";"30x+60 X   - buborékcsomagolásban";"OGYI-T-09251/18";"vitamins;minerals";"Bayer Hungária Kft.";"A11AA03";"2018-04-05 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"SUPRADYN drazsé";"60 X   - buborékcsomagolásban";"OGYI-T-09251/02";"vitamins;minerals";"Bayer Hungária Kft.";"A11AA03";"2021-08-31 00:00:00";"2021-12-01 00:00:00";"Gyártási gond";"Ugyanaz a gyógyszer más kiszerelésben elérhetõ";
"SUPRADYN drazsé";"60 X   - buborékcsomagolásban";"OGYI-T-09251/02";"vitamins;minerals";"Bayer Hungária Kft.";"A11AA03";"2021-12-22 00:00:00";"2022-04-04 00:00:00";"Gyártási gond";"Ugyanaz a gyógyszer más kiszerelésben elérhetõ";
"SUPRADYN drazsé";"90 X   - buborékcsomagolásban";"OGYI-T-09251/22";"vitamins;minerals";"Bayer Hungária Kft.";"A11AA03";"2021-10-19 00:00:00";"2021-11-30 00:00:00";"Gyártási gond";"Ugyanaz a gyógyszer más gyógyszerformában elérhetõ";
"SYNCUMAR MITE 1 mg tabletta";"60 X   - buborékcsomagolásban";"OGYI-T-05965/02";"acenocoumarol";"Bausch Health Ireland Ltd.";"B01AA07";"2011-10-14 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más kiszerelésben elérhetõ";
"SYNOTIREX  13 mikrogramm belsõleges oldat egyadagos tartályban";"6 X 5 - egyadagos tartályban";"OGYI-T-23589/01";"levothyroxine sodium";"Ibsa Pharma Kft.";"H03AA01";"2023-01-23 00:00:00";"";"Gyártási gond";"Azonos hatóanyag más gyógyszerformában elérhetõ";
"SYNOTIREX  25 mikrogramm belsõleges oldat egyadagos tartályban";"6 X 5 - egyadagos tartályban";"OGYI-T-23589/02";"levothyroxine sodium";"Ibsa Pharma Kft.";"H03AA01";"2023-01-23 00:00:00";"";"Gyártási gond";"Azonos hatóanyag más gyógyszerformában elérhetõ";
"SYNOTIREX  50 mikrogramm belsõleges oldat egyadagos tartályban";"6 X 5 - egyadagos tartályban";"OGYI-T-23589/03";"levothyroxine sodium";"Ibsa Pharma Kft.";"H03AA01";"2023-01-23 00:00:00";"";"Gyártási gond";"Azonos hatóanyag más gyógyszerformában elérhetõ";
"Saxenda 6 mg/ml oldatos injekció elõretöltött injekciós tollban";"3 X 3 ml elõretöltött injekciós tollban";"EU/1/15/992/002";"liraglutide";"Novo Nordisk A/S";"A10BJ02";"2023-03-07 00:00:00";"2023-04-14 00:00:00";"Gyártási gond";"Azonos hatóanyag, azonos gyógyszerformában elérhetõ";
"Sivextro 200 mg filmtabletta";"6 X   - buborékcsomagolásban";"EU/1/15/991/001";"tedizolid phosphate";"Merck Sharp & Dohme BV";"J01XX11";"2020-03-20 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más gyógyszerformában elérhetõ";
"Sivextro 200 mg por oldatos infúzióhoz való koncentrátumhoz";"6 X   - injekciós üvegben";"EU/1/15/991/003";"tedizolid phosphate";"Merck Sharp & Dohme BV";"J01XX11";"2020-03-20 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más gyógyszerformában elérhetõ";
"Stocrin 600 mg filmtabletta";"30 X   - HDPE tartályban";"EU/1/99/111/008";"efavirenz";"Merck Sharp & Dohme BV";"J05AG03";"";"";"";"";
"Suboxone  2 mg/0,5 mg nyelvalatti tabletta";"7 X   - buborékcsomagolásban";"EU/1/06/359/001";"buprenorphine;naloxone";"Indivior Europe Ltd. ";"N07BC51";"2022-06-08 00:00:00";"2022-12-08 00:00:00";"Gyártási gond";"Egyedi import";
"Suboxone  8 mg/2 mg nyelvalatti tabletta";"7 X   - buborékcsomagolásban";"EU/1/06/359/003";"buprenorphine;naloxone";"Indivior Europe Ltd. ";"N07BC51";"2022-06-08 00:00:00";"2022-12-08 00:00:00";"Gyártási gond";"Egyedi import";
"TALVOSILEN FORTE 500 mg/30 mg kemény kapszula";"20 X   - buborékcsomagolásban";"OGYI-T-04752/02";"codeine;paracetamol";"Bene Arzneimittel GmbH";"N02BE51";"2023-03-01 00:00:00";"2023-05-30 00:00:00";"Gyártási gond";"Azonos hatóanyag más gyógyszerformában elérhetõ";
"TARDEMET XR 1000 mg retard tabletta";"30 X   - szalagcsomagolásban";"OGYI-T-22679/09";"metformin hydrochloride";"Viatris Ltd.";"A10BA02";"2017-02-01 00:00:00";"";"Adminisztratív okok";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"TARDEMET XR 1000 mg retard tabletta";"60 X   - szalagcsomagolásban";"OGYI-T-22679/10";"metformin hydrochloride";"Viatris Ltd.";"A10BA02";"2017-02-01 00:00:00";"";"Adminisztratív okok";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"TARDEMET XR 1000 mg retard tabletta";"600 X   - szalagcsomagolásban";"OGYI-T-22679/12";"metformin hydrochloride";"Viatris Ltd.";"A10BA02";"2017-02-01 00:00:00";"";"Adminisztratív okok";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"TARDEMET XR 1000 mg retard tabletta";"90 X   - szalagcsomagolásban";"OGYI-T-22679/11";"metformin hydrochloride";"Viatris Ltd.";"A10BA02";"2017-02-01 00:00:00";"";"Adminisztratív okok";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"TAVANIC 500 mg filmtabletta";"10 X   - buborékcsomagolásban";"OGYI-T-06837/14";"levofloxacin";"sanofi-aventis zrt.";"J01MA12";"2017-04-07 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más gyógyszerformában elérhetõ";
"TECHNESCAN DMSA 1,2 mg-os készlet radioaktív gyógyszerkészítményekhez";"5 X   - injekciós üvegben";"OGYI-T-09150/01";"Dimercaptosuccinic acid";"Curium Netherlands B.V.";"V09CA02";"2021-03-21 00:00:00";"2021-07-16 00:00:00";"Gyártási gond";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"TEGRETOL CR 200 mg módosított hatóanyagleadású tabletta";"50 X   - buborékcsomagolásban";"OGYI-T-05833/01";"carbamazepine";"Novartis Hungária Kft. Pharma részlege";"N03AF01";"2023-02-16 00:00:00";"2023-03-31 00:00:00";"Gyártási gond";"Ugyanaz a gyógyszer más hatáserõsségben elérhetõ";
"TEGRETOL CR 200 mg módosított hatóanyagleadású tabletta";"50 X   - buborékcsomagolásban";"OGYI-T-05833/08";"carbamazepine";"Novartis Hungária Kft. Pharma részlege";"N03AF01";"2023-02-16 00:00:00";"2023-03-31 00:00:00";"Gyártási gond";"Ugyanaz a gyógyszer más hatáserõsségben elérhetõ";
"TELFAST 120 mg filmtabletta";"10 X   - buborékcsomagolásban";"OGYI-T-06450/01";"fexofenadine";"Opella Healthcare Commercial Kft.";"R06AX26";"2013-06-01 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más gyógyszerformában elérhetõ";
"TELFAST 180 mg filmtabletta";"10 X   - buborékcsomagolásban";"OGYI-T-06450/04";"fexofenadine";"Opella Healthcare Commercial Kft.";"R06AX26";"2013-07-01 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más gyógyszerformában elérhetõ";
"TENSIOMIN  50 mg tabletta";"20 X   - buborékcsomagolásban";"OGYI-T-03699/05";"captopril";"Egis Gyógyszergyár Zrt.";"C09AA01";"2015-01-01 00:00:00";"2018-12-31 00:00:00";"Gyártási gond";"Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)";
"TERVALON HCT 50 mg/12,5 mg filmtabletta";"30 X   - buborékcsomagolásban";"OGYI-T-20956/02";"losartan;hydrochlorothiazide";"Zentiva, k.s. (Csehország)";"C09DA01";"2021-09-30 00:00:00";"2021-11-30 00:00:00";"Gyártási gond";"Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)";
"TERVALON HCT 50 mg/12,5 mg filmtabletta";"90 X   - buborékcsomagolásban";"OGYI-T-20956/03";"losartan;hydrochlorothiazide";"Zentiva, k.s. (Csehország)";"C09DA01";"2013-07-01 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más kiszerelésben elérhetõ";
"TESTARZON 20 mg/g transzdermális gél";"1 X 85.5 g többadagos tartályban";"OGYI-T-23359/01";"testosterone";"The Simple Pharma Company Ltd.";"G03BA03";"2023-01-13 00:00:00";"2023-03-07 00:00:00";"Gyártási gond";"Egyedi import";
"TETAGAM P oldatos injekció";"1 X 1 ml elõretöltött fecskendõben";"OGYI-T-23873/01";"human tetanus immunoglobulin";"CSL Behring GmbH";"J06BB02";"2023-01-11 00:00:00";"2023-03-10 00:00:00";"Szállítási vagy raktározási gondok";"Egyedi import";
"TETIG 250 NE oldatos injekció";"1 X   - ampulla";"OGYI-T-09471/01";"immunglobulin";"Human BioPlazma Kft.";"J06BB02";"2019-06-30 00:00:00";"";"Hatóanyag, vagy egyéb alapanyag ellátási probléma";"Kontingens";
"TETIG 500 NE oldatos injekció";"1 X   - ampulla";"OGYI-T-09471/02";"immunglobulin";"Human BioPlazma Kft.";"J06BB02";"2019-06-30 00:00:00";"";"Hatóanyag, vagy egyéb alapanyag ellátási probléma";"Kontingens";
"TETRALYSAL 300 mg kemény kapszula";"16 X   - szalagcsomagolásban";"OGYI-T-09555/01";"lymecycline";"Galderma International";"J01AA04";"2019-07-11 00:00:00";"";"Piaci megfontolások";"Egyedi import";
"TETRALYSAL 300 mg kemény kapszula";"28 X   - szalagcsomagolásban";"OGYI-T-09555/02";"lymecycline";"Galderma International";"J01AA04";"2019-07-11 00:00:00";"";"Piaci megfontolások";"Egyedi import";
"TEZEO 80 mg tabletta";"28 X   - buborékcsomagolásban";"OGYI-T-21605/04";"telmisartan";"Zentiva, k.s. (Csehország)";"C09CA07";"2013-12-20 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más gyógyszerformában elérhetõ";
"TEZEO 80 mg tabletta";"28 X   - buborékcsomagolásban";"OGYI-T-21605/04";"telmisartan";"Zentiva, k.s. (Csehország)";"C09CA07";"2013-12-20 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más gyógyszerformában elérhetõ";
"TEZEO HCT 80 mg/25 mg tabletta";"30 X   - buborékcsomagolásban";"OGYI-T-22511/17";"telmisartan;hydrochlorothiazide";"Zentiva, k.s. (Csehország)";"C09DA07";"2023-01-09 00:00:00";"2023-03-21 00:00:00";"Gyártási gond";"Ugyanaz a gyógyszer más hatáserõsségben elérhetõ";
